[ 2025-07-19 08:57:19,198 ] Connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Kalibra"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 08:57:19,198 ] Connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Kalibra"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 08:57:19,247 ] Disconnected from gameserver
[ 2025-07-19 08:57:38,542 ] BattlEye: "Initialized (v1.249)"
[ 2025-07-19 08:57:38,542 ] BattlEye: "Config entry: GameID tibia"
[ 2025-07-19 08:57:38,542 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-07-19 08:57:38,643 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171"  (unprotected:  "tcp://prod-lb-na.tibia.com:7171" )  requested (Charakter "Yalos One" )
[ 2025-07-19 08:57:38,643 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-19 08:57:38,664 ] Connected to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-19 08:57:39,376 ] Request connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"
[ 2025-07-19 08:57:39,549 ] Backup connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera" established
[ 2025-07-19 08:57:41,538 ] BattlEye: "Server computed GUID: 0b23b8e33dfdd37b4652baf2b13fe1d7"
[ 2025-07-19 08:57:46,497 ] Connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 08:57:46,498 ] Connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 08:57:46,542 ] Disconnected from gameserver
[ 2025-07-19 08:57:50,589 ] BattlEye: "Initialized (v1.249)"
[ 2025-07-19 08:57:50,589 ] BattlEye: "Config entry: GameID tibia"
[ 2025-07-19 08:57:50,589 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-07-19 08:57:50,681 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171"  (unprotected:  "tcp://prod-lb-na.tibia.com:7171" )  requested (Charakter "Zambrio One" )
[ 2025-07-19 08:57:50,682 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-19 08:57:50,703 ] Connected to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-19 08:57:51,422 ] Request connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"
[ 2025-07-19 08:57:51,564 ] Backup connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera" established
[ 2025-07-19 08:57:53,585 ] BattlEye: "Server computed GUID: 82aea907966d082551f9ca37efc2bf8a"
[ 2025-07-19 08:57:58,497 ] Connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 08:57:58,497 ] Connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 08:57:58,554 ] Disconnected from gameserver
[ 2025-07-19 08:58:09,857 ] BattlEye: "Initialized (v1.249)"
[ 2025-07-19 08:58:09,857 ] BattlEye: "Config entry: GameID tibia"
[ 2025-07-19 08:58:09,857 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-07-19 08:58:09,943 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171"  (unprotected:  "tcp://prod-lb-na.tibia.com:7171" )  requested (Charakter "Azerimhin Rabyan" )
[ 2025-07-19 08:58:09,943 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-19 08:58:09,965 ] Connected to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-19 08:58:10,685 ] Request connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"
[ 2025-07-19 08:58:10,830 ] Backup connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera" established
[ 2025-07-19 08:58:14,850 ] BattlEye: "Server computed GUID: 115832bcccc0cb5af90b18163d252fcb"
[ 2025-07-19 08:59:02,496 ] Connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 08:59:02,546 ] Connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 08:59:02,594 ] Disconnected from gameserver
[ 2025-07-19 08:59:17,910 ] BattlEye: "Initialized (v1.249)"
[ 2025-07-19 08:59:17,910 ] BattlEye: "Config entry: GameID tibia"
[ 2025-07-19 08:59:17,910 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-07-19 08:59:18,003 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171"  (unprotected:  "tcp://prod-lb-na.tibia.com:7171" )  requested (Charakter "Lephir Carin" )
[ 2025-07-19 08:59:18,003 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-19 08:59:18,027 ] Connected to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-19 08:59:18,836 ] Request connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"
[ 2025-07-19 08:59:19,035 ] Backup connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera" established
[ 2025-07-19 08:59:22,916 ] BattlEye: "Server computed GUID: dcd111cd642bc58d8a1d548ba6c13d53"
[ 2025-07-19 09:23:33,497 ] Connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 09:23:33,497 ] Connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 09:23:33,553 ] Disconnected from gameserver
[ 2025-07-19 09:27:35,321 ] BattlEye: "Initialized (v1.249)"
[ 2025-07-19 09:27:35,321 ] BattlEye: "Config entry: GameID tibia"
[ 2025-07-19 09:27:35,321 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-07-19 09:27:35,415 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171"  (unprotected:  "tcp://prod-lb-na.tibia.com:7171" )  requested (Charakter "Lephir Carin" )
[ 2025-07-19 09:27:35,415 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-19 09:27:35,438 ] Connected to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-19 09:27:36,157 ] Request connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"
[ 2025-07-19 09:27:36,325 ] Backup connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera" established
[ 2025-07-19 09:27:40,335 ] BattlEye: "Server computed GUID: dcd111cd642bc58d8a1d548ba6c13d53"
[ 2025-07-19 09:45:45,448 ] Connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
